iter	Passed	Remaining
1194	232458	156593
1195	232710	156437
1196	232957	156278
1197	233192	156110
1198	233421	155938
1199	233638	155759
1200	233844	155571
1201	234056	155388
1202	234268	155205
1203	234492	155030
1204	234747	154875
1205	235007	154723
1206	235242	154554
1207	235469	154380
1208	235675	154192
1209	235883	154006
1210	236103	153828
1211	236323	153649
1212	236549	153474
1213	236766	153293
1214	237011	153130
1215	237321	153009
1216	237550	152836
1217	237773	152658
1218	237987	152475
1219	238213	152300
1220	238427	152117
1221	238633	151928
1222	238867	151758
1223	239096	151583
1224	239314	151403
1225	239539	151226
1226	239737	151032
1227	239939	150841
1228	240128	150641
1229	240341	150457
1230	240572	150284
1231	240779	150096
1232	241006	149920
1233	241233	149744
1234	241469	149574
1235	241670	149382
1236	241866	149186
1237	242062	148991
1238	242248	148790
1239	242451	148599
1240	242652	148407
1241	242887	148235
1242	243130	148068
1243	243355	147891
1244	243565	147704
1245	243783	147522
1246	243998	147338
1247	244206	147150
1248	244398	146952
1249	244609	146765
1250	244830	146585
1251	245053	146405
1252	245268	146221
1253	245494	146043
1254	245706	145857
1255	245925	145675
1256	246114	145475
1257	246326	145289
1258	246540	145104
1259	246764	144925
1260	246993	144748
1261	247256	144591
1262	247498	144423
1263	247739	144253
1264	247966	144075
1265	248158	143877
1266	248377	143694
1267	248581	143502
1268	248792	143315
1269	248997	143124
1270	249193	142928
1271	249428	142754
1272	249656	142576
1273	249868	142389
1274	250085	142205
1275	250290	142014
1276	250481	141815
1277	250678	141619
1278	250889	141431
1279	251143	141268
1280	251367	141087
1281	251584	140902
1282	251782	140707
1283	252013	140530
1284	252213	140336
1285	252402	140136
1286	252592	139936
1287	252788	139740
1288	252990	139547
1289	253202	139359
1290	253431	139181
1291	253641	138992
1292	253860	138808
1293	254098	138634
1294	254309	138446
1295	254527	138261
1296	254723	138065
1297	254916	137867
1298	255109	137668
1299	255306	137472
1300	255531	137291
1301	255754	137109
1302	255975	136925
1303	256211	136751
1304	256438	136570
1305	256648	136381
1306	256868	136197
1307	257092	136015
1308	257293	135821
1309	257477	135618
1310	257687	135428
1311	257902	135241
1312	258122	135057
1313	258342	134873
1314	258536	134674
1315	258735	134479
1316	258932	134283
1317	259137	134091
1318	259344	133899
1319	259545	133705
1320	259766	133520
1321	259998	133342
1322	260217	133157
1323	260420	132963
1324	260629	132773
1325	260860	132594
1326	261067	132402
1327	261262	132204
1328	261475	132016
1329	261672	131819
1330	261867	131622
1331	262086	131436
1332	262307	131252
1333	262511	131059
1334	262710	130863
1335	262923	130674
1336	263121	130478
1337	263319	130282
1338	263522	130088
1339	263747	129905
1340	263965	129719
1341	264169	129525
1342	264397	129344
1343	264608	129153
1344	264829	128969
1345	265033	128775
1346	265218	128572
1347	265424	128380
1348	265646	128195
1349	265849	128001
1350	266061	127811
1351	266273	127622
1352	266474	127427
1353	266684	127236
1354	266884	127041
1355	267096	126851
1356	267300	126657
1357	267516	126469
1358	267733	126282
1359	267945	126091
1360	268174	125910
1361	268445	125747
1362	268689	125572
1363	268972	125415
1364	269216	125240
1365	269433	125051
1366	269661	124868
1367	269873	124678
1368	270102	124495
1369	270331	124313
1370	270562	124131
1371	270810	123956
1372	271043	123775
1373	271291	123601
1374	271536	123425
1375	271777	123247
1376	272014	123068
1377	272235	122881
1378	272463	122697
1379	272683	122509
1380	272915	122327
1381	273176	122158
1382	273436	121988
1383	273740	121838
1384	273980	121659
1385	274222	121480
1386	274470	121305
1387	274690	121116
1388	274913	120930
1389	275195	120769
1390	275455	120598
1391	275701	120421
1392	275954	120247
1393	276186	120063
1394	276410	119876
1395	276624	119685
1396	276838	119494
1397	277064	119308
1398	277288	119121
1399	277522	118938
1400	277745	118750
1401	277981	118568
1402	278199	118378
1403	278452	118203
1404	278691	118022
1405	278941	117845
1406	279168	117659
1407	279402	117476
1408	279671	117307
1409	279938	117137
1410	280182	116958
1411	280425	116777
1412	280679	116602
1413	280931	116425
1414	281166	116242
1415	281381	116050
1416	281595	115857
1417	281815	115667
1418	282051	115484
1419	282287	115300
1420	282540	115123
1421	282791	114946
1422	283032	114764
1423	283243	114570
1424	283457	114377
1425	283696	114194
1426	283936	114012
1427	284171	113827
1428	284378	113631
1429	284617	113448
1430	284858	113266
1431	285098	113083
1432	285313	112890
1433	285524	112696
1434	285757	112510
1435	286007	112331
1436	286286	112163
1437	286526	111980
1438	286786	111805
1439	287049	111630
1440	287341	111467
1441	287613	111295
1442	287895	111127
1443	288115	110936
1444	288303	110732
1445	288491	110528
1446	288699	110332
1447	288901	110133
1448	289073	109923
1449	289253	109716
1450	289450	109516
1451	289625	109307
1452	289826	109108
1453	290022	108908
1454	290227	108710
1455	290410	108504
1456	290595	108300
1457	290794	108100
1458	290980	107896
1459	291166	107691
1460	291341	107483
1461	291528	107279
1462	291712	107074
1463	291903	106871
1464	292099	106670
1465	292283	106466
1466	292472	106263
1467	292677	106065
1468	292857	105859
1469	293043	105654
1470	293244	105456
1471	293416	105247
1472	293602	105042
1473	293778	104835
1474	293969	104633
1475	294169	104434
1476	294343	104225
1477	294531	104022
1478	294716	103818
1479	294896	103612
1480	295102	103415
1481	295301	103215
1482	295486	103011
1483	295690	102814
1484	295891	102615
1485	296088	102415
1486	296295	102218
1487	296500	102021
1488	296713	101827
1489	296905	101625
1490	297103	101425
1491	297308	101228
1492	297478	101019
1493	297651	100811
1494	297853	100612
1495	298032	100406
1496	298236	100209
1497	298419	100004
1498	298615	99804
1499	298805	99601
1500	298982	99395
1501	299162	99189
1502	299359	98989
1503	299534	98782
1504	299725	98580
1505	299915	98378
1506	300101	98175
1507	300303	97976
1508	300478	97770
1509	300655	97563
1510	300862	97367
1511	301048	97163
1512	301281	96975
1513	301462	96770
1514	301636	96563
1515	301821	96359
1516	302017	96159
1517	302217	95961
1518	302429	95766
1519	302645	95572
1520	302857	95377
1521	303038	95172
1522	303245	94975
1523	303433	94773
1524	303615	94568
1525	303785	94360
1526	303971	94157
1527	304149	93951
1528	304328	93746
1529	304517	93544
1530	304718	93346
1531	304919	93147
1532	305097	92942
1533	305283	92739
1534	305463	92534
1535	305653	92332
1536	305834	92128
1537	306021	91925
1538	306217	91725
1539	306393	91520
1540	306584	91318
1541	306776	91117
1542	306958	90913
1543	307164	90716
1544	307360	90517
1545	307547	90314
1546	307730	90111
1547	307929	89912
1548	308100	89705
1549	308288	89503
1550	308481	89302
1551	308660	89097
1552	308849	88896
1553	309044	88696
1554	309235	88495
1555	309414	88290
1556	309617	88092
1557	309797	87888
1558	309972	87683
1559	310153	87479
1560	310338	87276
1561	310523	87073
1562	310706	86870
1563	310890	86667
1564	311077	86465
1565	311255	86261
1566	311447	86060
1567	311628	85856
1568	311810	85653
1569	312025	85459
1570	312207	85255
1571	312401	85055
1572	312587	84853
1573	312759	84647
1574	312940	84444
1575	313117	84239
1576	313301	84037
1577	313483	83833
1578	313660	83629
1579	313849	83428
1580	314048	83229
1581	314229	83026
1582	314437	82830
1583	314645	82634
1584	314821	82429
1585	315006	82227
1586	315204	82028
1587	315412	81832
1588	315603	81631
1589	315807	81434
1590	316001	81234
1591	316195	81035
1592	316391	80835
1593	316565	80630
1594	316735	80425
1595	316917	80222
1596	317084	80015
1597	317260	79811
1598	317444	79609
1599	317613	79403
1600	317805	79203
1601	318021	79009
1602	318237	78814
1603	318441	78617
1604	318631	78417
1605	318811	78214
1606	318996	78012
1607	319181	77810
1608	319362	77607
1609	319562	77409
1610	319771	77213
1611	319975	77016
1612	320177	76818
1613	320387	76623
1614	320590	76425
1615	320772	76223
1616	320987	76028
1617	321181	75828
1618	321362	75626
1619	321568	75429
1620	321768	75231
1621	321947	75028
1622	322161	74833
1623	322351	74632
1624	322586	74443
1625	322773	74241
1626	322955	74039
1627	323143	73838
1628	323329	73637
1629	323526	73438
1630	323705	73235
1631	323897	73035
1632	324089	72835
1633	324278	72635
1634	324466	72434
1635	324675	72238
1636	324876	72040
1637	325072	71841
1638	325255	71639
1639	325456	71441
1640	325650	71242
1641	325840	71041
1642	326053	70846
1643	326267	70651
1644	326453	70450
1645	326634	70248
1646	326826	70048
1647	327015	69848
1648	327196	69645
1649	327375	69443
1650	327573	69244
1651	327751	69042
1652	327935	68840
1653	328109	68637
1654	328304	68438
1655	328509	68241
1656	328714	68044
1657	328914	67846
1658	329086	67642
1659	329273	67441
1660	329477	67244
